index,value
1,0.172269826996
2,0.0334778211571
3,0.0242263677057
4,0.0360758338935
5,0.0905755346306
6,0.215561427157
7,0.0801854774371
8,0.0473937586189
9,0.117422175816
10,0.0965886572252
11,0.0643305746377
12,0.219523364916
13,0.284928999627
14,0.297139068155
15,0.177196207894
16,0.0779458053916
17,0.0785995356037
18,0.07384550533
19,0.0315744295062
20,0.0166288731346
21,0.0647896094281
22,0.260169184567
23,0.0162700614825
24,0.0515406748423
25,0.0376836847299
26,0.143980669346
27,0.0414382702568
28,0.0603301387905
29,0.0476938966177
30,0.0946635003768
31,0.0407573896302
32,0.195310744583
33,0.0429343653464
34,0.169867250808
35,0.0211488963966
36,0.0484466793459
37,0.502748530339
38,0.230700596184
39,0.0771030041352
40,0.301379983907
41,0.0500268075051
42,0.172977601885
43,0.236219620548
44,0.21981203172
45,0.10916719816
46,0.225380932132
47,0.0690741012416
48,0.0800169566516
49,0.495518248205
50,0.655781165232
51,0.102350685876
52,0.269855812322
53,0.300492249336
54,0.341891153986
55,0.428025171324
56,0.24020161887
57,0.185435549803
58,0.164027696897
59,0.581837822545
60,0.269866636845
61,0.26551436193
62,0.0458523347786
63,0.0228178419341
64,0.375740705426
65,0.200509922903
66,0.097200033423
67,0.364904754101
68,0.135221495193
69,0.454116237004
70,0.154456684266
71,0.345414627052
72,0.208085261941
73,0.23361614342
74,0.29850591313
75,0.360050327507
76,0.243902491047
77,0.266261212012
78,0.341367798194
79,0.486764889819
80,0.424368167834
81,0.498996629212
82,0.596910233055
83,0.293763801205
84,0.419883751897
85,0.303712248273
86,0.361995809142
87,0.218355513752
88,0.260305936635
89,0.259746466576
90,0.551939178209
91,0.296027448535
92,0.551103842245
93,0.55018555445
94,0.399703911768
95,0.413746715187
96,0.229433788067
97,0.435245723072
98,0.314067013067
99,0.258255842504
100,0.647607353379
101,0.138418496734
102,0.0392534950613
103,0.309768136458
104,0.247060326482
105,0.256827653578
106,0.41328068605
107,0.545370489751
108,0.278273305956
109,0.245828820458
110,0.425628499284
111,0.172705665527
112,0.542847638417
113,0.531161550199
114,0.431205429458
115,0.41435247107
116,0.657426320389
117,0.488925955366
118,0.696808411137
119,0.410685430191
120,0.363297032737
121,0.189152070341
122,0.361833300125
123,0.235231847144
124,0.212353189867
125,0.406374469364
126,0.165869664348
127,0.0609748055612
128,0.272904567791
129,0.445704281782
130,0.170355109076
131,0.315973141528
132,0.188206400124
133,0.171849565843
134,0.384013336452
135,0.427943733026
136,0.192789056798
137,0.261894158269
138,0.326633362473
139,0.650545800227
140,0.801170113629
141,0.247211504267
142,0.492375863267
143,0.550759055199
144,0.613394466322
145,0.377065272756
146,0.434183981458
147,0.621459170276
148,0.719730634959
149,0.741908371206
150,0.418186606464
151,0.55457111468
152,0.318512618398
153,0.8294610675
154,0.597494003899
155,0.538987979509
156,0.654673163453
157,0.688912934636
158,0.582445766428
159,0.715310477037
160,0.6895006553
161,0.797322341939
162,0.369513389664
163,0.609698366115
164,0.714298754994
165,0.342118690418
166,0.447188076568
167,0.540772474888
168,0.361761388753
169,0.521308046249
170,0.482484769735
171,0.61867106521
172,0.506547006968
173,0.761712556611
174,0.393760893624
175,0.618800689631
176,0.283081669664
177,0.463172773585
178,0.253321322288
179,0.467112156788
180,0.407024920897
181,0.426265940987
182,0.417382732458
183,0.593978609021
184,0.154589361485
185,0.469202972805
186,0.667040551659
187,0.619456956588
188,0.322892162341
189,0.562867832919
190,0.558718348017
191,0.541416737429
192,0.521083170648
193,0.555358636152
194,0.731398328225
195,0.640679469553
196,0.492955535257
197,0.579563465638
198,0.600623268494
199,0.589908898911
200,0.302460771883
201,0.603735160145
202,0.325798811464
203,0.599699807862
204,0.72482736964
205,0.79509649146
206,0.479220653956
207,0.754193960909
208,0.670147893187
209,0.516904873083
210,0.636823526421
211,0.202178136304
212,0.637390824972
213,0.468115861413
214,0.496865814091
215,0.314980327657
216,0.685316922676
217,0.751633374929
218,0.235782833007
219,0.391575137825
220,0.472290060172
221,0.6596060239
222,0.639999926668
223,0.744793046422
224,0.736742413998
225,0.699549557668
226,0.770719168592
227,0.363939984912
228,0.626478408277
229,0.724443588491
230,0.656268676025
231,0.663821660994
232,0.830927430044
233,0.710338576885
234,0.775428665834
235,0.772806272904
236,0.621477032628
237,0.663294898456
238,0.758708841219
239,0.42306424645
240,0.660344573616
241,0.577925459794
242,0.638550266829
243,0.664760261226
244,0.760774296653
245,0.672379169204
246,0.734966945996
247,0.598198991529
248,0.544684476671
249,0.380929689208
250,0.752526504655
251,0.577998828517
252,0.555682474595
253,0.708743437978
254,0.438460627363
255,0.808203043321
256,0.687072068801
257,0.75665778348
258,0.676052067927
259,0.593517025628
260,0.51209323776
261,0.83968146683
262,0.730514473421
263,0.55813755143
264,0.739758425254
265,0.753197846756
266,0.86255888836
267,0.558578721891
268,0.483839831559
269,0.366420651919
270,0.331425775851
271,0.573287989295
272,0.780856862266
273,0.548293041445
274,0.707466726572
275,0.643917494011
276,0.461517696964
277,0.737628920099
278,0.551139470411
279,0.524676797949
280,0.614651049914
281,0.55628808632
282,0.563212645592
283,0.770514034689
284,0.869236574715
285,0.632920009714
286,0.851336722612
287,0.799925144872
288,0.72977134414
289,0.427913671734
290,0.495795483633
291,0.554478573784
292,0.643898034714
293,0.71469255035
294,0.410131063498
295,0.595711219485
296,0.401203652839
297,0.596121825189
298,0.65048445731
299,0.559119662622
300,0.612379187568
301,0.557701536812
302,0.649240600089
303,0.653510658753
304,0.370936559684
305,0.437405639203
306,0.630660663386
